名前,pokeID,dexID,育て方,ブースト,種族値,ランク,実数値
ゼブライカ,584,406,最速,でんきエンジン,116,1,276
ゼブライカ,584,406,最速,スカーフ,116,0,276
エルフーン,608,416,最速,スカーフ,116,0,276
テツノブジン,1134,793,最速,スカーフ,116,0,276
テツノブジン,1134,793,最速,クォークチャージ,116,1,276
カジリガメ,940,621,最速,すいすい,74,2,276
ペルシアン(アローラのすがた),64,39,最速,びびり,115,1,274
ペルシアン(原種),63,38,最速,スカーフ,115,0,274
ペルシアン(アローラのすがた),64,39,最速,スカーフ,115,0,274
ニューラ(原種),254,183,最速,スカーフ,115,0,274
ニューラ(ヒスイのすがた),255,184,最速,スカーフ,115,0,274
ライコウ,284,206,最速,スカーフ,115,0,274
フローゼル,470,326,最速,スカーフ,115,0,274
エテボース,475,329,最速,スカーフ,115,0,274
アグノム,538,379,最速,スカーフ,115,0,274
チラチーノ,644,432,最速,スカーフ,115,0,274
ゴルダック,66,41,準速,すいすい,85,2,274
ハリーセン(原種),249,179,準速,すいすい,85,2,274
ハリーセン(ヒスイのすがた),250,180,準速,すいすい,85,2,274
キングドラ,271,195,準速,すいすい,85,2,274
ブイゼル,469,325,準速,すいすい,85,2,274
ハリーマン,1021,685,準速,すいすい,85,2,274
ソウブレイズ,1060,721,準速,くだけるよろい,85,2,274
ハルクジラ,1099,759,最速,ゆきかき,73,2,274
サンダース,167,113,準速,はやあし,130,1,273
サンダース,167,113,準速,スカーフ,130,0,273
ミュウツー,185,126,準速,スカーフ,130,0,273
ムゲンダイナ(通常),1001,666,準速,スカーフ,130,0,273
レイスポス,1010,674,準速,スカーフ,130,0,273
ジャローダ,557,397,最速,スカーフ,113,0,271
メロエッタ(ステップフォルム),727,491,準速,スカーフ,128,0,270
ルガルガン(まひるのすがた),844,570,最速,ふくつのこころ,112,1,270
ルガルガン(まひるのすがた),844,570,最速,スカーフ,112,0,270
シェイミ(スカイフォルム),552,393,準速,スカーフ,127,0,268
トルネロス(けしんフォルム),714,479,最速,スカーフ,111,0,268
ボルトロス(けしんフォルム),716,481,最速,スカーフ,111,0,268
イッカネズミ(3びきかぞく),1044,708,最速,スカーフ,111,0,268
イッカネズミ(4ひきかぞく),1045,709,最速,スカーフ,111,0,268
サケブシッポ,1112,771,最速,スカーフ,111,0,268
サケブシッポ,1112,771,最速,こだいかっせい,111,1,268
ウツボット,84,53,最速,ようりょくそ,70,2,268
ニョロボン,75,50,最速,すいすい,70,2,268
ルンパッパ,315,227,最速,すいすい,70,2,268
エアームド,268,192,最速,くだけるよろい,70,2,268
ポットデス,962,637,最速,くだけるよろい,70,2,268
キモリ,293,214,最速,かるわざ,70,2,268
フワンテ,476,330,最速,かるわざ,70,2,268
ファイアロー,744,503,準速,スカーフ,126,0,267
ライチュウ(原種),27,12,最速,スカーフ,110,0,267
ライチュウ(アローラのすがた),28,13,最速,スカーフ,110,0,267
ダグトリオ(アローラのすがた),59,34,最速,スカーフ,110,0,267
ドードリオ,106,69,最速,スカーフ,110,0,267
ゲンガー,117,80,最速,スカーフ,110,0,267
ケンタロス(原種),157,103,最速,スカーフ,110,0,267
ワタッコ,225,159,最速,スカーフ,110,0,267
エーフィ,233,166,最速,スカーフ,110,0,267
ルギア,290,212,最速,スカーフ,110,0,267
ラティアス,426,294,最速,スカーフ,110,0,267
ラティオス,427,295,最速,スカーフ,110,0,267
ユキメノコ,529,370,最速,スカーフ,110,0,267
ゾロアーク(ヒスイのすがた),642,430,最速,スカーフ,110,0,267
ルガルガン(たそがれのすがた),846,572,最速,スカーフ,110,0,267
タギングル,1068,729,最速,スカーフ,110,0,267
テツノドクガ,1121,780,最速,スカーフ,110,0,267
オーガポン(みどりのめん),1147,804,最速,スカーフ,110,0,267
テツノドクガ,1121,780,最速,クォークチャージ,110,1,267
オーガポン(みどりのめん),1147,804,最速,おもかげやどし,110,1,267
マニューラ,512,356,準速,スカーフ,125,0,265
ダークライ,550,391,準速,スカーフ,125,0,265
タイカイデン,1064,725,準速,スカーフ,125,0,265
キュウコン(アローラのすがた),44,23,最速,スカーフ,109,0,265
ウネルミナモ,1139,796,最速,スカーフ,109,0,265
ウネルミナモ,1139,796,最速,こだいかっせい,109,1,265
アブリボン,842,568,準速,スカーフ,124,0,264
テツノイワオ,1155,812,準速,スカーフ,124,0,264
テツノイワオ,1155,812,準速,クォークチャージ,124,1,264
ゴウカザル,441,306,最速,スカーフ,108,0,264
デンチュラ,667,447,最速,スカーフ,108,0,264
コバルオン,711,476,最速,スカーフ,108,0,264
テラキオン,712,477,最速,スカーフ,108,0,264
ビリジオン,713,478,最速,スカーフ,108,0,264
ケルディオ(いつものすがた),725,490,最速,スカーフ,108,0,264
テツノコウベ,1120,779,最速,スカーフ,108,0,264
テツノコウベ,1120,779,最速,クォークチャージ,108,1,264
フシギバナ,2,2,準速,ようりょくそ,80,2,264
ポポッコ,224,158,準速,ようりょくそ,80,2,264
ダーテング,318,230,準速,ようりょくそ,80,2,264
オニゴーリ,408,283,準速,ムラっけ,80,2,264
コイキング,161,107,準速,すいすい,80,2,264
ヒンバス,392,274,準速,すいすい,80,2,264
バルジーナ,703,470,準速,くだけるよろい,80,2,264
フワライド,477,331,準速,かるわざ,80,2,264
モグリュー,590,407,最速,すなかき,68,2,264
ハカドッグ,1096,756,最速,すなかき,68,2,264
オンバーン,807,539,準速,スカーフ,123,0,262
マスカーニャ,1026,690,準速,スカーフ,123,0,262
ゲッコウガ(通常),738,500,準速,スカーフ,122,0,261
イダイトウ(オスのすがた),1018,682,準速,すいすい,78,2,260
イダイトウ(メスのすがた),1019,683,準速,すいすい,78,2,260
トルネロス(れいじゅうフォルム),715,480,準速,スカーフ,121,0,259
モトトカゲ,1091,751,準速,スカーフ,121,0,259
カエンジシ,749,508,最速,スカーフ,106,0,259
ラブトロス(けしんフォルム),1022,686,最速,スカーフ,106,0,259
テツノワダチ,1117,776,最速,スカーフ,106,0,259
マシマシラ,1145,802,最速,スカーフ,106,0,259
テツノワダチ,1117,776,最速,クォークチャージ,106,1,259
ウミトリオ,1084,745,準速,びびり,120,1,258
ダグトリオ(原種),58,33,準速,スカーフ,120,0,258
ジュカイン,295,216,準速,スカーフ,120,0,258
パルキア(オリジンフォルム),542,383,準速,スカーフ,120,0,258
アルセウス,553,394,準速,スカーフ,120,0,258
メテノ(コア),877,591,準速,スカーフ,120,0,258
インテレオン,924,614,準速,スカーフ,120,0,258
オオニューラ,1020,684,準速,スカーフ,120,0,258
ウミトリオ,1084,745,準速,スカーフ,120,0,258
ストライク,152,100,最速,ふくつのこころ,105,1,258
ストライク,152,100,最速,スカーフ,105,0,258
エレブー,154,101,最速,スカーフ,105,0,258
ムウマージ,480,332,最速,スカーフ,105,0,258
ドレディア(ヒスイのすがた),611,419,最速,スカーフ,105,0,258
ゾロアーク(原種),641,429,最速,スカーフ,105,0,258
フリージオ,686,459,最速,スカーフ,105,0,258
コジョンド,692,461,最速,スカーフ,105,0,258
ザルード,1006,670,最速,スカーフ,105,0,258
パーモット,1042,706,最速,スカーフ,105,0,258
クエスパトラ,1079,740,最速,スカーフ,105,0,258
クエスパトラ,1079,740,最速,かそく,105,1,258
モンメン,607,415,最速,ようりょくそ,66,2,258
ケイコウオ,507,352,最速,すいすい,66,2,258
サシカマス,952,631,最速,すいすい,66,2,258
エースバーン,921,611,準速,スカーフ,119,0,256
トドロクツキ,1133,792,準速,スカーフ,119,0,256
トドロクツキ,1133,792,準速,こだいかっせい,119,1,256
マフォクシー,735,497,最速,スカーフ,104,0,256
ニャオニクス(オスのすがた),759,515,最速,スカーフ,104,0,256
ニャオニクス(メスのすがた),760,516,最速,スカーフ,104,0,256
テツノイサハ,1140,797,最速,スカーフ,104,0,256
サンドパン(アローラのすがた),32,17,最速,ゆきかき,65,2,256
サンドパン(原種),31,16,最速,すなかき,65,2,256
アメタマ,326,236,最速,すいすい,65,2,256
ルチャブル,784,524,準速,スカーフ,118,0,255
シキジカ,656,441,準速,ようりょくそ,75,2,254
スコヴィラン,1075,736,準速,ようりょくそ,75,2,254
ドーブル,276,200,準速,ムラっけ,75,2,254
スコヴィラン,1075,736,準速,ムラっけ,75,2,254
グレンアルマ,1059,720,準速,くだけるよろい,75,2,254
シルシュルー,1067,728,準速,かるわざ,75,2,254
エンニュート,860,582,準速,スカーフ,117,0,253
ガブリアス,496,344,最速,スカーフ,102,0,253
ドロンチ,995,660,最速,スカーフ,102,0,253
レジエレキ,1007,671,準速,,200,0,252
ゼブライカ,584,406,準速,でんきエンジン,116,1,252
ゼブライカ,584,406,準速,スカーフ,116,0,252
エルフーン,608,416,準速,スカーフ,116,0,252
テツノブジン,1134,793,準速,スカーフ,116,0,252
テツノブジン,1134,793,準速,クォークチャージ,116,1,252
ボルトロス(れいじゅうフォルム),717,482,最速,スカーフ,101,0,252
ランドロス(けしんフォルム),720,485,最速,スカーフ,101,0,252
デデンネ,785,525,最速,スカーフ,101,0,252
スナノケガワ,1116,775,最速,スカーフ,101,0,252
スナノケガワ,1116,775,最速,こだいかっせい,101,1,252
カジリガメ,940,621,準速,すいすい,74,2,252
ペルシアン(アローラのすがた),64,39,準速,びびり,115,1,250
ペルシアン(原種),63,38,準速,スカーフ,115,0,250
ペルシアン(アローラのすがた),64,39,準速,スカーフ,115,0,250
ニューラ(原種),254,183,準速,スカーフ,115,0,250
ニューラ(ヒスイのすがた),255,184,準速,スカーフ,115,0,250
ライコウ,284,206,準速,スカーフ,115,0,250
フローゼル,470,326,準速,スカーフ,115,0,250
エテボース,475,329,準速,スカーフ,115,0,250
アグノム,538,379,準速,スカーフ,115,0,250
チラチーノ,644,432,準速,スカーフ,115,0,250
リザードン,5,5,最速,スカーフ,100,0,250
キュウコン(原種),43,22,最速,スカーフ,100,0,250
ドククラゲ,86,55,最速,スカーフ,100,0,250
ビリリダマ(原種),123,83,最速,スカーフ,100,0,250
ビリリダマ(ヒスイのすがた),124,84,最速,スカーフ,100,0,250
ケンタロス(パルデアのすがた(コンバット)),158,104,最速,スカーフ,100,0,250
ケンタロス(パルデアのすがた(ブレイズ)),159,105,最速,スカーフ,100,0,250
ケンタロス(パルデアのすがた(ウォーター)),160,106,最速,スカーフ,100,0,250
サンダー(原種),178,119,最速,スカーフ,100,0,250
サンダー(ガラルのすがた),179,120,最速,スカーフ,100,0,250
ミュウ,186,127,最速,スカーフ,100,0,250
バクフーン(原種),192,133,最速,スカーフ,100,0,250
エンテイ,285,207,最速,スカーフ,100,0,250
ケッキング,332,242,最速,スカーフ,100,0,250
フライゴン,373,263,最速,スカーフ,100,0,250
ボーマンダ,419,287,最速,スカーフ,100,0,250
ジラーチ,431,299,最速,スカーフ,100,0,250
ムクホーク,447,312,最速,スカーフ,100,0,250
パルキア(通常),541,382,最速,スカーフ,100,0,250
レジギガス,544,385,最速,スカーフ,100,0,250
マナフィ,549,390,最速,スカーフ,100,0,250
シェイミ(ランドフォルム),551,392,最速,スカーフ,100,0,250
ウルガモス,710,475,最速,スカーフ,100,0,250
キュワワー,866,586,最速,スカーフ,100,0,250
リククラゲ,1072,733,最速,スカーフ,100,0,250
イルカマン(マイティフォルム),1088,748,最速,スカーフ,100,0,250
イーユイ,1132,791,最速,スカーフ,100,0,250
ハルクジラ,1099,759,準速,ゆきかき,73,2,250
キチキギス,1146,803,最速,スカーフ,99,0,249
ジャローダ,557,397,準速,スカーフ,113,0,247
バスラオ(しろすじ),614,421,最速,びびり,98,1,247
バスラオ(あかすじ),613,420,最速,スカーフ,98,0,247
バスラオ(しろすじ),614,421,最速,スカーフ,98,0,247
スワンナ,652,440,最速,スカーフ,98,0,247
サザンドラ,708,473,最速,スカーフ,98,0,247
テツノカシラ,1156,813,最速,スカーフ,98,0,247
テツノカシラ,1156,813,最速,クォークチャージ,98,1,247
ルガルガン(まひるのすがた),844,570,準速,ふくつのこころ,112,1,246
ルガルガン(まひるのすがた),844,570,準速,スカーフ,112,0,246
フシギソウ,1,1,最速,ようりょくそ,60,2,246
コノハナ,317,229,最速,ようりょくそ,60,2,246
タッツー,144,98,最速,すいすい,60,2,246
バルチャイ,702,469,最速,くだけるよろい,60,2,246
トルネロス(けしんフォルム),714,479,準速,スカーフ,111,0,244
ボルトロス(けしんフォルム),716,481,準速,スカーフ,111,0,244
イッカネズミ(3びきかぞく),1044,708,準速,スカーフ,111,0,244
イッカネズミ(4ひきかぞく),1045,709,準速,スカーフ,111,0,244
サケブシッポ,1112,771,準速,スカーフ,111,0,244
サケブシッポ,1112,771,準速,こだいかっせい,111,1,244
ラブカス,416,284,最速,スカーフ,97,0,244
オノノクス,683,456,最速,スカーフ,97,0,244
ゲコガシラ,737,499,最速,スカーフ,97,0,244
ソルガレオ,894,600,最速,スカーフ,97,0,244
ルナアーラ,895,601,最速,スカーフ,97,0,244
モルペコ,986,655,最速,スカーフ,97,0,244
ウーラオス(いちげきのかた),1004,668,最速,スカーフ,97,0,244
ウーラオス(れんげきのかた),1005,669,最速,スカーフ,97,0,244
ウツボット,84,53,準速,ようりょくそ,70,2,244
ニョロボン,75,50,準速,すいすい,70,2,244
ルンパッパ,315,227,準速,すいすい,70,2,244
エアームド,268,192,準速,くだけるよろい,70,2,244
ポットデス,962,637,準速,くだけるよろい,70,2,244
キモリ,293,214,準速,かるわざ,70,2,244
フワンテ,476,330,準速,かるわざ,70,2,244
ライチュウ(原種),27,12,準速,スカーフ,110,0,243
ライチュウ(アローラのすがた),28,13,準速,スカーフ,110,0,243
ダグトリオ(アローラのすがた),59,34,準速,スカーフ,110,0,243
ドードリオ,106,69,準速,スカーフ,110,0,243
ゲンガー,117,80,準速,スカーフ,110,0,243
ケンタロス(原種),157,103,準速,スカーフ,110,0,243
ワタッコ,225,159,準速,スカーフ,110,0,243
エーフィ,233,166,準速,スカーフ,110,0,243
ルギア,290,212,準速,スカーフ,110,0,243
ラティアス,426,294,準速,スカーフ,110,0,243
ラティオス,427,295,準速,スカーフ,110,0,243
ユキメノコ,529,370,準速,スカーフ,110,0,243
ゾロアーク(ヒスイのすがた),642,430,準速,スカーフ,110,0,243
ルガルガン(たそがれのすがた),846,572,準速,スカーフ,110,0,243
タギングル,1068,729,準速,スカーフ,110,0,243
テツノドクガ,1121,780,準速,スカーフ,110,0,243
オーガポン(みどりのめん),1147,804,準速,スカーフ,110,0,243
テツノドクガ,1121,780,準速,クォークチャージ,110,1,243
オーガポン(みどりのめん),1147,804,準速,おもかげやどし,110,1,243
ミミッキュ,881,593,最速,スカーフ,96,0,243
キュウコン(アローラのすがた),44,23,準速,スカーフ,109,0,241
ウネルミナモ,1139,796,準速,スカーフ,109,0,241
ウネルミナモ,1139,796,準速,こだいかっせい,109,1,241
ウミディグダ,1083,744,最速,びびり,95,1,241
エレキブル,517,359,最速,でんきエンジン,95,1,241
ディグダ(原種),56,31,最速,スカーフ,95,0,241
オコリザル,68,43,最速,スカーフ,95,0,241
ウインディ(原種),71,46,最速,スカーフ,95,0,241
ゴースト,116,79,最速,スカーフ,95,0,241
フリーザー(ガラルのすがた),177,118,最速,スカーフ,95,0,241
バクフーン(ヒスイのすがた),193,134,最速,スカーフ,95,0,241
ヤンヤンマ,229,163,最速,スカーフ,95,0,241
ヘルガー,270,194,最速,スカーフ,95,0,241
エレキッド,280,203,最速,スカーフ,95,0,241
ジュプトル,294,215,最速,スカーフ,95,0,241
プラスル,354,250,最速,スカーフ,95,0,241
マイナン,355,251,最速,スカーフ,95,0,241
レックウザ,430,298,最速,スカーフ,95,0,241
パチリス,468,324,最速,スカーフ,95,0,241
エレキブル,517,359,最速,スカーフ,95,0,241
メガヤンマ,520,361,最速,スカーフ,95,0,241
リーフィア,521,362,最速,スカーフ,95,0,241
グライオン,523,364,最速,スカーフ,95,0,241
ユクシー,536,377,最速,スカーフ,95,0,241
メブキジカ,657,442,最速,スカーフ,95,0,241
キュレム(通常),722,487,最速,スカーフ,95,0,241
キュレム(ブラックキュレム),723,488,最速,スカーフ,95,0,241
キュレム(ホワイトキュレム),724,489,最速,スカーフ,95,0,241
イエッサン(オスのすがた),984,653,最速,スカーフ,95,0,241
バウッツェル,1047,711,最速,スカーフ,95,0,241
ウミディグダ,1083,744,最速,スカーフ,95,0,241
ヤンヤンマ,229,163,最速,かそく,95,1,241
メガヤンマ,520,361,最速,かそく,95,1,241
ゴウカザル,441,306,準速,スカーフ,108,0,240
デンチュラ,667,447,準速,スカーフ,108,0,240
コバルオン,711,476,準速,スカーフ,108,0,240
テラキオン,712,477,準速,スカーフ,108,0,240
ビリジオン,713,478,準速,スカーフ,108,0,240
ケルディオ(いつものすがた),725,490,準速,スカーフ,108,0,240
テツノコウベ,1120,779,準速,スカーフ,108,0,240
テツノコウベ,1120,779,準速,クォークチャージ,108,1,240
ラビフット,920,610,最速,スカーフ,94,0,240
デカヌチャン,1082,743,最速,スカーフ,94,0,240
モグリュー,590,407,準速,すなかき,68,2,240
ハカドッグ,1096,756,準速,すなかき,68,2,240
ブーバー,155,102,最速,スカーフ,93,0,238
オドリドリ(めらめらスタイル),837,563,最速,スカーフ,93,0,238
オドリドリ(ぱちぱちスタイル),838,564,最速,スカーフ,93,0,238
オドリドリ(ふらふらスタイル),839,565,最速,スカーフ,93,0,238
オドリドリ(まいまいスタイル),840,566,最速,スカーフ,93,0,238
カエンジシ,749,508,準速,スカーフ,106,0,237
ラブトロス(けしんフォルム),1022,686,準速,スカーフ,106,0,237
テツノワダチ,1117,776,準速,スカーフ,106,0,237
マシマシラ,1145,802,準速,スカーフ,106,0,237
テツノワダチ,1117,776,準速,クォークチャージ,106,1,237
ハハコモリ,603,414,最速,スカーフ,92,0,237
ワルビアル,617,424,最速,スカーフ,92,0,237
ハギギシリ,882,594,最速,スカーフ,92,0,237
エクスレッグ,1039,703,最速,スカーフ,92,0,237
イキリンコ(グリーンフェザー),1051,715,最速,スカーフ,92,0,237
モンメン,607,415,準速,ようりょくそ,66,2,236
ケイコウオ,507,352,準速,すいすい,66,2,236
サシカマス,952,631,準速,すいすい,66,2,236
ストライク,152,100,準速,ふくつのこころ,105,1,235
ストライク,152,100,準速,スカーフ,105,0,235
エレブー,154,101,準速,スカーフ,105,0,235
ムウマージ,480,332,準速,スカーフ,105,0,235
ドレディア(ヒスイのすがた),611,419,準速,スカーフ,105,0,235
ゾロアーク(原種),641,429,準速,スカーフ,105,0,235
フリージオ,686,459,準速,スカーフ,105,0,235
コジョンド,692,461,準速,スカーフ,105,0,235
ザルード,1006,670,準速,スカーフ,105,0,235
パーモット,1042,706,準速,スカーフ,105,0,235
クエスパトラ,1079,740,準速,スカーフ,105,0,235
クエスパトラ,1079,740,準速,かそく,105,1,235
ヤミカラス,235,168,最速,スカーフ,91,0,235
ネオラント,508,353,最速,スカーフ,91,0,235
ロトム(通常),530,371,最速,スカーフ,91,0,235
ランドロス(れいじゅうフォルム),721,486,最速,スカーフ,91,0,235
ウガツホムラ,1153,810,最速,スカーフ,91,0,235
ウガツホムラ,1153,810,最速,こだいかっせい,91,1,235
マフォクシー,735,497,準速,スカーフ,104,0,234
ニャオニクス(オスのすがた),759,515,準速,スカーフ,104,0,234
ニャオニクス(メスのすがた),760,516,準速,スカーフ,104,0,234
テツノイサハ,1140,797,準速,スカーフ,104,0,234
ルカリオ,499,347,最速,ふくつのこころ,90,1,234
ニャース(アローラのすがた),61,36,最速,びびり,90,1,234
ピカチュウ,26,11,最速,スカーフ,90,0,234
モルフォン,55,30,最速,スカーフ,90,0,234
ディグダ(アローラのすがた),57,32,最速,スカーフ,90,0,234
ニャース(原種),60,35,最速,スカーフ,90,0,234
ニャース(アローラのすがた),61,36,最速,スカーフ,90,0,234
ウインディ(ヒスイのすがた),72,47,最速,スカーフ,90,0,234
ニョロモ,73,48,最速,スカーフ,90,0,234
ニョロゾ,74,49,最速,スカーフ,90,0,234
ファイヤー(原種),180,121,最速,スカーフ,90,0,234
